saga,song,character,lines
The Troy Saga,The Horse and the Infant,Zeus,"A vision of what is to come cannot be outrun, can only be dealt with right here and now

I don't think you're ready

A mission to kill someone's son, a foe who won't run, unlike anyone you have faced before

I don't think you're ready

This is the son of none other than Troy's very own prince Hector, know that he will grow from a boy to an avenger

One fuelled with rage as you're consumed by age

If you don't end him now, you'll have no one left to save

You can say goodbye to

Penelope

You can say goodbye to Penelope

I could raise him as my own (He will burn your house and throne)

Or send him far away from home (He'll find you wherever you go)

Make sure his past is never known (The gods will make it known)

I'd rather bleed for ya, down on my knees for ya (He's bringing you down on your knees for ya)

I'm begging, please

Oh, this is the will of the gods

Please don't make me do this, don't make me do this

The blood on your hands is something you won't lose

All you can choose is whose"
The Troy Saga,The Horse and the Infant,All,All you can choose is whose
The Troy Saga,Warrior of the Mind,Athena,"Have you forgotten the lessons I taught you?

Have you forgotten to turn off your heart? This is not you

I see you changing from how I've designed you

Have you forgotten your purpose? Let me remind you

Goddess of wisdom, master of war

My life has one mission, create the greatest warrior

I had a challenge, a test of skill

A magic boar only the best could kill

One day a boy came for the thrill

A boy whose mind rivalled the boar's own will

Maybe one day he'll follow me

And w?'ll make a greater tomorrow, th?n they'll see

I know he'll change the world

'Cause he is a warrior of the mind

Maybe one day I'll reach him

And we can build his skills as I teach him

If there's a problem, he'll have the answer

He is a warrior of the mind

How can you see through my spell?

Well done, enlighten me, what's your name?

Nice try, but two can play this game

If you're looking for a mentor, I'll make sure your time's well spent

We'll see where it ends

Maybe one day they'll follow me and we'll

Make a greater tomorrow, then they'll see

I know we'll change the world

'Cause we are the warriors of the mind

Maybe one day we'll reach them

And we can build their skills as we teach them

If there's a problem, we'll have the answer

We are the warriors of the mind

I still intend to make sure you don't fall behind

Don't forget that you're a warrior of a very special kind

You are a warrior of the mind

Don't disappoint me"
The Troy Saga,Warrior of the Mind,Odysseus,"Athena!

Let's go!

Show yourself

I know you're watching me

Show yourself

I can see you

Haha! I was lying and you fell for my bluff

Hahahaha

You first, and maybe I'll do the same

Nah, don't be modest

I know you're a goddess

So let's be honest

You are Athena (Athena)

Badass in the arena

Unmatched, witty, and queen of

The best strategies we've seen

Sounds like a plan

Goddess and man

Bestest of friends

Okay

Make a greater tomorrow, then they'll see

I know we'll change the world

'Cause we are the warriors of the mind

Maybe one day we'll reach them

And we can build their skills as we teach them

If there's a problem, we'll have the answer

We are the warriors of the mind"
The Troy Saga,Warrior of the Mind,Ensemble,"Nah, don't be modest

I know you're a goddess

So let's be honest

You are Athena (Athena)

Badass in the arena

Unmatched, witty, and queen of

The best strategies we've seen

Make a greater tomorrow, then they'll see

I know we'll change the world

'Cause we are the warriors of the mind

Maybe one day we'll reach them

And we can build their skills as we teach them

If there's a problem, we'll have the answer

We are the warriors of the mind"
The Underworld Saga,Monster,Soldiers,"Monster

Monster

Then I'll become the

Monster

I will deal the blow

And I'll become the

Monster

Like none they've ever known

So what if I'm the

Monster

Lurking deep below

I must become the

Monster

And then we'll make it home

Monster"
The Underworld Saga,Monster,All,"Then I'll become the

Monster

I will deal the blow

And I'll become the

Monster

Like none they've ever known

So what if I'm the

Monster

Lurking deep below

I must become the

Monster

And then we'll make it home"
The Underworld Saga,No Longer You,Odysseus,What?
The Underworld Saga,The Underworld,Odysseus,"Friends, Circe's instructions were clear

No matter what we hear

Until we find the prophet

My comrades, this land confuses your mind

So no matter who we find

Good

All I hear are screams, every time I dare to close my eyes

I no longer dream, only nightmares of those who've died

Nothing's what it seems

Nothing's what it seems

And here in The Underworld, the past seems close behind

This land confuses your mind

All I hear are screams, every time I dare to close my eyes

I no longer dream, only nightmares of those who've died

Nothing's what it seems

Nothing's what it seems

But in The Underworld, the past seems close behind

I keep thinking of the infant from that night

I keep thinking of the infant from that night"
The Underworld Saga,The Underworld,Soldiers,"Full speed ahead

Full speed ahead, until we find the prophet

All I hear are screams, every time I dare to close my eyes

I no longer dream, only nightmares of those who've died

Nothing's what it seems

Nothing's what it seems

And here in The Underworld, the past seems close behind

This land confuses your mind

All I hear are screams, every time I dare to close my eyes

I no longer dream, only nightmares of those who've died

Nothing's what it seems

Nothing's what it seems

But in The Underworld, the past seems close behind

I keep thinking of the infant from that night

I keep thinking of the infant from that night"
The Vengeance Saga,600 Strike,Ensemble,"Six hundred men (Six hundred)

Six hundred men (Six hundred)

Six hundred men (Six hundred)

Six hundred men (Six hundred)

Six hundred men (Six hundred)

Six hundred men (Six hundred)

Six hundred men (Six hundred)

Six hundred, six hundred m?n"
The Vengeance Saga,600 Strike,Odysseus,"I don't think you seem to get it

I can't afford to die

'Cause I will get back to my son

And I will get back to my wife

For every comrade, every one of my friends

Almost all of whom were slaughtered by your hand

Six hundred strike

You're goin' to call off that storm

Exactly

How does it feel to be helpless? (Argh)

How does it feel to know pain? (Ugh)

I watched my friends die in horror (Ah-ah)

Crying as they were all slain (Ugh)

I heard their final moments (Argh)

Calling their captain in vain (Ugh)

Look what you turned me into (Ah-ah)

Look what we've become (Ugh, enough)

All of the pain that I've been through (Stop)

Haven't I suffered enough? (Stop)

You didn't stop when I begged you

Told me to close my heart (You)

You said the world was dark (Monster)

Didn't you say that ruthlessness is mercy upon our—

Next to my wife"
The Vengeance Saga,600 Strike,Poseidon,"You idiot

Can't you see?

You sealed your fate just to b?at me

You released my storm when you opened that bag

Blocked your one way home

Now you'll never get back

Or what? You can't kill me

Wait

Wait, ahh

Ugh

How does it feel to be helpless? (Argh)

How does it feel to know pain? (Ugh)

I watched my friends die in horror (Ah-ah)

Crying as they were all slain (Ugh)

I heard their final moments (Argh)

Calling their captain in vain (Ugh)

Look what you turned me into (Ah-ah)

Look what we've become (Ugh, enough)

All of the pain that I've been through (Stop)

Haven't I suffered enough? (Stop)

You didn't stop when I begged you

Told me to close my heart (You)

You said the world was dark (Monster)

Didn't you say that ruthlessness is mercy upon our—

Alright, please

After everything you've done

How will you sleep at night?"
The Vengeance Saga,Charybdis,Odysseus,"You must be who Hermes mentioned

A monster here to block my way

I'd like to hurry up and end this

So if you don't have much to say

Then oh, bring it on

I'm not dying here, I'm still fighting here

I'm holding on

Til I see it through, til I've beaten you

I already know your tactics

When you swallow you attack with whirlpools that attract prey

But I see a disadvantage, cause I don't even have to kill you

I'll just have to avoid you

See, if you don't spit it out soon, all that water will destroy you

Oh, bring it on

Til you're out of breath, til there's nothing left

I'm holding on

Til I'm in the clear, til I'm out of here, oh"
The Vengeance Saga,Not Sorry For Loving You,Ensemble,"But I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

So if I pushed you

Or if I came on too strong

Or if I ambushed you

For that, I'll say I was wrong

And if you hate me

Then I am sorry my love's too much for you

Ooh-ooh-ooh-ooh

But I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

I'm not sorry for loving you

I hate that I fell in love with you

Hate that I fell in love with you

Why did I fall in love with you?

Why did I fall in love with you?

What do I do with this love for you?

What do I do with this love for you?

How am I supposed to get over you?

How am I supposed to get over you?

Why in the world won't you love me too?"
The Vengeance Saga,Not Sorry For Loving You,Odysseus,"Calypso

I love you

But not in the way that you want me to"
The Wisdom Saga,God Games,Athena,"Father, God King, rarely do I ask for favors

Now, I'm knocking on your door

With hopes to save a friendship

With one who's a prisoner far from home

Odysseus

Who's them?

Bring it!

They were trying to do him worse

All he did was reimburse them

Now they'll tread with caution first

To live another day and sing another verse

Did you forget they failed to listen?

He was betrayed and then imprisoned

But if you make the right decision

He can still build a future with those who miss him

He was busy fighting

Wait

Please reconsider this

Ares

Hold your tongue now, his son's my friend

And tell your lover that a broken heart can mend

Do you want more bloodshed? Then set him free

To get back to his homestead, he'll make everybody bleed

He's got the mind of a genius

He's pretty skilled with words

He's kind of funny

Never once has he cheated on his wife

I've played your game and won. release him

Let him go, please

Let him go"
The Wisdom Saga,God Games,Zeus,"Divine intervention — is that what you seek?

To untie apprehensions that were placed on that Greek?

You are playing with thunder for a man full of shame

But if he's worth the risk of going under

Why not make it a game?

Convince each of them that he ought to be released

And I'll release him

Apollo, Hephaestus

Aphrodite, Ares

H?ra or me

What do you say?

You dare to defy me, to make me feel shame?

No one beats me, no one wins my game

Thunder, bring her through the wringer

Show her I'm the judgment call

The one who makes her kingdom fall"
The Wisdom Saga,God Games,Ensemble,"Apollo

Hephaestus

Aphrodite

Ares, Ares

Hera

Thunder, bring her through the wringer

Show her I'm the judgment call

The one who makes her kingdom fall"
The Wisdom Saga,Legendary,Telemachus,"It's just me, myself, and I

Stuck in my bedroom, living in this world you left behind

Dreaming of all these monsters that I'll never get to fight

But boy, I wish I could, so I could bring this world some light

Cause I'm stuck with your stories

But no clue who you are

And no idea if you're dead or just too far

Somebody tell me, come and give me a sign

If I fight those monsters, is it you I'll find?

If so, then

Give me sirens and a cyclops

Give me giants and a hydra

I know life and fate are scary

But I wanna be legendary

I'll fight the harpies and chimeras

The minotaurs, even Cerberus

I know life and fate are scary

But I wanna be l-l-l-l-legendary

There are strangers in our halls

Trying to win the heart of my mom

But she is standing tall

108 old faces of men who call me small

They keep taking space and it's not much longer we can stall

Cause they're getting impatient, dangerous too

And I would fight them if I was half as strong as you

Somebody help me, come and give me the strength

Can I do whatever it takes to keep my mom safe?

If so, then

Give me sirens and a cyclops

Give me giants and a hydra

I know life and fate are scary

But I wanna be legendary

I'll fight the harpies and chimeras

The minotaurs, even Cerberus

I know life and fate are scary

But I wanna be legendary"
The Wisdom Saga,Love in Paradise,Odysseus,"She's my wife

I'm not your man

Hell no, I could kill you where you stand

I'm no pet, I'm a married man

Goddess?

No, no

I don't belong here

There's something wrong here

I won't be drawn to love in paradise

Not till the end of time, there is no way"
