act,song,speaker,line
The Cyclops Saga,Polyphemus,polyphemus,My favourit? sheep
The Cyclops Saga,Polyphemus,polyphemus,What gives you the right to deal a pain so deep
The Cyclops Saga,Polyphemus,polyphemus,Don't you know that pain you sow is pain you r?ap?
The Cyclops Saga,Polyphemus,polyphemus,Time to drink
The Cyclops Saga,Polyphemus,polyphemus,Your blood over where you stand
The Cyclops Saga,Polyphemus,polyphemus,Your life now is in my hand
The Cyclops Saga,Polyphemus,polyphemus,Before I'm done
The Cyclops Saga,Polyphemus,polyphemus,You will learn that it's not so fun to take
The Cyclops Saga,Polyphemus,polyphemus,You came to my home to steal
The Cyclops Saga,Polyphemus,polyphemus,But now you'll become my meal
The Cyclops Saga,Polyphemus,polyphemus,"A trade, you see?"
The Cyclops Saga,Polyphemus,polyphemus,Take from you like you took from me
The Cyclops Saga,Polyphemus,odysseus,There's been a misunderstanding
The Cyclops Saga,Polyphemus,odysseus,We never came here to steal
The Cyclops Saga,Polyphemus,odysseus,But now that I see we've done some damage
The Cyclops Saga,Polyphemus,odysseus,Maybe you and I can make a deal
The Cyclops Saga,Polyphemus,odysseus,I'll give you our finest treasure
The Cyclops Saga,Polyphemus,odysseus,So long as we leave alive
The Cyclops Saga,Polyphemus,odysseus,You can keep the world's best tasting wine
The Cyclops Saga,Polyphemus,polyphemus,Wine?
The Cyclops Saga,Polyphemus,odysseus,Have a drink
The Cyclops Saga,Polyphemus,odysseus,One sip and you'll understand
The Cyclops Saga,Polyphemus,odysseus,The power that's in your hands
The Cyclops Saga,Polyphemus,odysseus,A wine so fresh
The Cyclops Saga,Polyphemus,odysseus,You'd never wanna eat human flesh again
The Cyclops Saga,Polyphemus,odysseus,Then we shall be on our way
The Cyclops Saga,Polyphemus,odysseus,No bloodshed in here today
The Cyclops Saga,Polyphemus,odysseus,"A trade, you see?"
The Cyclops Saga,Polyphemus,odysseus,A gift from you and a gift from me
The Cyclops Saga,Polyphemus,polyphemus,"Ah, I'd like to thank you"
The Cyclops Saga,Polyphemus,polyphemus,"Stranger, what's your name?"
The Cyclops Saga,Polyphemus,odysseus,"My name is Nobody, Nobody, Nobody"
The Cyclops Saga,Polyphemus,polyphemus,"Nobody, for your gift I've one to reply"
The Cyclops Saga,Polyphemus,odysseus,I'm so glad we see eye to eye
The Cyclops Saga,Polyphemus,polyphemus,"Yes, you shall be the final man to die"
The Cyclops Saga,Polyphemus,odysseus,What?
The Cyclops Saga,Polyphemus,odysseus,Watch out!
The Cyclops Saga,Survive,ensemble,Po-ly-phe-mus
The Cyclops Saga,Survive,ensemble,Po-ly-phe-mus
The Cyclops Saga,Survive,odysseus,My brothers
The Cyclops Saga,Survive,odysseus,The rest of our fleet
The Cyclops Saga,Survive,odysseus,They wait at the beach
The Cyclops Saga,Survive,odysseus,"And if we're defeated, they’re good as dead"
The Cyclops Saga,Survive,odysseus,"Straight ahead, that is who we're fighting"
The Cyclops Saga,Survive,ensemble,Po-ly-phe-mus
The Cyclops Saga,Survive,odysseus,"No backup, no chance for support"
The Cyclops Saga,Survive,soldiers,"No backup, no chance for support"
The Cyclops Saga,Survive,odysseus,So draw out your swords
The Cyclops Saga,Survive,soldiers,So draw out your swords
The Cyclops Saga,Survive,odysseus,Our foe must be thwarted right here and now
The Cyclops Saga,Survive,soldiers,Our foe must be thwarted right here and now
The Cyclops Saga,Survive,odysseus,Show me how great is your will to survive
The Cyclops Saga,Survive,soldiers,Show me how great is your will to survive
The Cyclops Saga,Survive,odysseus,Six hundred lives at stake
The Cyclops Saga,Survive,soldiers,Six hundred lives at stake
The Cyclops Saga,Survive,odysseus,It's just one life to take
The Cyclops Saga,Survive,soldiers,It's just one life to take
The Cyclops Saga,Survive,odysseus,And when we kill him then our journey’s over
The Cyclops Saga,Survive,soldiers,And when we kill him then our journey’s over
The Cyclops Saga,Survive,odysseus,No dying on me now
The Cyclops Saga,Survive,soldiers,No dying on me now
The Cyclops Saga,Survive,odysseus,Defeat is not allowed
The Cyclops Saga,Survive,soldiers,Defeat is not allowed
The Cyclops Saga,Survive,odysseus,We must live through this day so
The Cyclops Saga,Survive,soldiers,We must live through this day so
The Cyclops Saga,Survive,odysseus,"Fight, fight, fight"
The Cyclops Saga,Survive,soldiers,"Fight, fight, fight"
The Cyclops Saga,Survive,odysseus,"Surround him, surround him"
The Cyclops Saga,Survive,soldiers,"Surround him, surround him"
The Cyclops Saga,Survive,odysseus,"Attack from behind, keep distance in mind"
The Cyclops Saga,Survive,soldiers,"Attack from behind, keep distance in mind"
The Cyclops Saga,Survive,odysseus,"And stay in his blindspot and strike his heels, strike the heels"
The Cyclops Saga,Survive,soldiers,"And stay in his blindspot and strike his heels, strike the heels"
The Cyclops Saga,Survive,odysseus,"Show him that we're deadly, ha, ha"
The Cyclops Saga,Survive,soldiers,"Show him that we're deadly, ha, ha"
The Cyclops Saga,Survive,odysseus,"Exhaust him, exhaust him"
The Cyclops Saga,Survive,soldiers,"Exhaust him, exhaust him"
The Cyclops Saga,Survive,odysseus,"Don't let him get close, he's strong but he's slow"
The Cyclops Saga,Survive,soldiers,"Don't let him get close, he's strong but he's slow"
The Cyclops Saga,Survive,odysseus,He can't land a blow if we're out of reach
The Cyclops Saga,Survive,soldiers,He can't land a blow if we're out of reach
The Cyclops Saga,Survive,odysseus,Find a breach
The Cyclops Saga,Survive,soldiers,Find a breach
The Cyclops Saga,Survive,odysseus,Stand up and fight for your lives
The Cyclops Saga,Survive,soldiers,Stand up and fight for your lives
The Cyclops Saga,Survive,soldiers,Six hundred lives at stake
The Cyclops Saga,Survive,odysseus,Six hundred lives at stake
The Cyclops Saga,Survive,soldiers,It's just one life to take
The Cyclops Saga,Survive,odysseus,It's just one life to take
The Cyclops Saga,Survive,soldiers,And when we kill him then our journey’s over
The Cyclops Saga,Survive,odysseus,And when we kill him then our journey’s over
The Cyclops Saga,Survive,soldiers,Push forward
The Cyclops Saga,Survive,odysseus,Push forward
The Cyclops Saga,Survive,soldiers,No dying on us now
The Cyclops Saga,Survive,odysseus,No dying on us now
The Cyclops Saga,Survive,soldiers,Defeat is not allowed
The Cyclops Saga,Survive,odysseus,Defeat is not allowed
The Cyclops Saga,Survive,soldiers,We must live through this day so
The Cyclops Saga,Survive,odysseus,We must live through this day so
The Cyclops Saga,Survive,soldiers,"Fight, fight, fight"
The Cyclops Saga,Survive,odysseus,"Fight, fight, fight"
The Cyclops Saga,Survive,polites,Captain…
The Cyclops Saga,Survive,polyphemus,Enough
The Cyclops Saga,Survive,soldier,He’s got a club…
The Cyclops Saga,Survive,soldier,He's got a club!
The Cyclops Saga,Survive,soldier,What are our orders?
The Cyclops Saga,Survive,soldier,Captain? Captain!
The Cyclops Saga,Survive,polyphemus,You’ve hurt me enough
The Cyclops Saga,Survive,polyphemus,Six hundred lives I'll take
The Cyclops Saga,Survive,polyphemus,Six hundred lives I'll break
The Cyclops Saga,Survive,polyphemus,And when I kill you then my pain is over
The Cyclops Saga,Survive,polyphemus,You're dying here and now
The Cyclops Saga,Survive,polyphemus,Escape is not allowed
The Cyclops Saga,Survive,polyphemus,You won’t live through this day now die
The Cyclops Saga,Survive,polyphemus,Die...
The Cyclops Saga,Remember Them,eurylochus,Captain!
The Cyclops Saga,Remember Them,eurylochus,Captain!
The Cyclops Saga,Remember Them,eurylochus,Captain!
The Cyclops Saga,Remember Them,odysseus,"We must move quickly, we don't have much time"
The Cyclops Saga,Remember Them,odysseus,He didn't notice I mixed lotus in his wine
The Cyclops Saga,Remember Them,odysseus,"Mark my words now, this is not the end"
The Cyclops Saga,Remember Them,eurylochus,"But captain, what'll we do with our fallen friends?"
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,soldiers,Remember them
The Cyclops Saga,Remember Them,odysseus,When the fire begins to fade
The Cyclops Saga,Remember Them,odysseus,When the fire begins to fade
The Cyclops Saga,Remember Them,soldiers,When the fire begins to fade
The Cyclops Saga,Remember Them,odysseus,For the fallen and afraid
The Cyclops Saga,Remember Them,odysseus,For the fallen and afraid
The Cyclops Saga,Remember Them,soldiers,For the fallen and afraid
The Cyclops Saga,Remember Them,odysseus,We are not to let them die in vain
The Cyclops Saga,Remember Them,odysseus,We are not to let them die in vain
The Cyclops Saga,Remember Them,soldiers,We are not to let them die in vain
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,soldiers,Remember them
The Cyclops Saga,Remember Them,odysseus,We're the ones who carry on
The Cyclops Saga,Remember Them,odysseus,We're the ones who carry on
The Cyclops Saga,Remember Them,soldiers,We're the ones who carry on
The Cyclops Saga,Remember Them,odysseus,The flames of those who've gone
The Cyclops Saga,Remember Them,odysseus,The flames of those who've gone
The Cyclops Saga,Remember Them,soldiers,The flames of those who've gone
The Cyclops Saga,Remember Them,odysseus,And our comrades will not die in vain
The Cyclops Saga,Remember Them,odysseus,And our comrades will not die in vain
The Cyclops Saga,Remember Them,soldiers,And our comrades will not die in vain
The Cyclops Saga,Remember Them,odysseus,I need all our hands on his club
The Cyclops Saga,Remember Them,odysseus,This is how we're getting out of here
The Cyclops Saga,Remember Them,odysseus,Use your swords to sharpen the stub
The Cyclops Saga,Remember Them,odysseus,And turn it to a giant spear
The Cyclops Saga,Remember Them,soldiers,Let's kill him!
The Cyclops Saga,Remember Them,odysseus,His body is blocking the path
The Cyclops Saga,Remember Them,odysseus,If we kill him we'll be stuck inside
The Cyclops Saga,Remember Them,eurylochus,"Captain, where do we attack him?"
The Cyclops Saga,Remember Them,odysseus,We gotta stab him in the eye
The Cyclops Saga,Remember Them,soldiers,Yes sir
The Cyclops Saga,Remember Them,soldiers,Remember them
The Cyclops Saga,Remember Them,soldiers,When the fire begins to fade
The Cyclops Saga,Remember Them,soldiers,For the fallen and afraid
The Cyclops Saga,Remember Them,soldiers,We are not to let them die in vain
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,soldiers,Remember them
The Cyclops Saga,Remember Them,odysseus,We're the ones who carry on
The Cyclops Saga,Remember Them,soldiers,We're the ones who carry on
The Cyclops Saga,Remember Them,odysseus,The flames of those who've gone
The Cyclops Saga,Remember Them,soldiers,The flames of those who've gone
The Cyclops Saga,Remember Them,odysseus,And our comrades will not die in vain
The Cyclops Saga,Remember Them,soldiers,And our comrades will not die in vain
The Cyclops Saga,Remember Them,odysseus,Now!
The Cyclops Saga,Remember Them,odysseus,Scatter!
The Cyclops Saga,Remember Them,cyclopes,Who hurts you?
The Cyclops Saga,Remember Them,eurylochus,There are more of them?
The Cyclops Saga,Remember Them,cyclopes,Who hurts you?
The Cyclops Saga,Remember Them,odysseus,Hide
The Cyclops Saga,Remember Them,cyclopes,Who hurts you?
The Cyclops Saga,Remember Them,eurylochus,"Captain, we should run"
The Cyclops Saga,Remember Them,odysseus,Wait
The Cyclops Saga,Remember Them,cyclopes,Who hurts you?
The Cyclops Saga,Remember Them,eurylochus,"Captain, please"
The Cyclops Saga,Remember Them,odysseus,Wait
The Cyclops Saga,Remember Them,polyphemus,"It was Nobody, Nobody"
The Cyclops Saga,Remember Them,cyclopes,"If nobody hurts you, be silent"
The Cyclops Saga,Remember Them,polyphemus,Don’t go!
The Cyclops Saga,Remember Them,odysseus,Let's grab the sheep and away we go
The Cyclops Saga,Remember Them,athena,Have you forgotten the lessons I taught you?
The Cyclops Saga,Remember Them,athena,He's still a threat until he's dead
The Cyclops Saga,Remember Them,athena,Finish it
The Cyclops Saga,Remember Them,odysseus,No
The Cyclops Saga,Remember Them,athena,No?
The Cyclops Saga,Remember Them,odysseus,What good would killing do
The Cyclops Saga,Remember Them,odysseus,When mercy is a skill more of this world could learn to use
The Cyclops Saga,Remember Them,odysseus,"My friend is dead, our foe is blind"
The Cyclops Saga,Remember Them,odysseus,"The blood we shed, it never dries"
The Cyclops Saga,Remember Them,odysseus,Is this what it means to be a warrior of the mind?
The Cyclops Saga,Remember Them,athena,Don't!
The Cyclops Saga,Remember Them,odysseus,"Hey, Cyclops!"
The Cyclops Saga,Remember Them,odysseus,"When we met, I led with peace"
The Cyclops Saga,Remember Them,odysseus,While you fed your inner beast
The Cyclops Saga,Remember Them,odysseus,But my comrades will not die in vain
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,odysseus,The next time that you dare choose not to spare
The Cyclops Saga,Remember Them,odysseus,Remember them
The Cyclops Saga,Remember Them,odysseus,Remember us
The Cyclops Saga,Remember Them,odysseus,Remember me
The Cyclops Saga,Remember Them,odysseus,I'm the reigning king of Ithaca
The Cyclops Saga,Remember Them,odysseus,I am neither man nor mythical
The Cyclops Saga,Remember Them,odysseus,I am your darkest moment
The Cyclops Saga,Remember Them,odysseus,I am the infamous
The Cyclops Saga,Remember Them,odysseus,Odysseus
The Cyclops Saga,My Goodbye,athena,"You were reckless, sentimental at best"
The Cyclops Saga,My Goodbye,odysseus,"You were reckless, sentimental at best"
The Cyclops Saga,My Goodbye,athena,That's not a teaching of mine
The Cyclops Saga,My Goodbye,odysseus,That's not a teaching of mine
The Cyclops Saga,My Goodbye,athena,"You’ve grown soft, your dead friends can attest"
The Cyclops Saga,My Goodbye,odysseus,"You’ve grown soft, your dead friends can attest"
The Cyclops Saga,My Goodbye,athena,Hey!
The Cyclops Saga,My Goodbye,odysseus,Hey!
The Cyclops Saga,My Goodbye,athena,Put your emotions aside
The Cyclops Saga,My Goodbye,odysseus,Put your emotions aside
The Cyclops Saga,My Goodbye,athena,You're a warrior meant to lead the rest
The Cyclops Saga,My Goodbye,odysseus,You're a warrior meant to lead the rest
The Cyclops Saga,My Goodbye,athena,I don't know where I went wrong
The Cyclops Saga,My Goodbye,odysseus,I don't know where I went wrong
The Cyclops Saga,My Goodbye,athena,"But I warned ya’, and you failed the test"
The Cyclops Saga,My Goodbye,odysseus,"But I warned ya’, and you failed the test"
The Cyclops Saga,My Goodbye,athena,So now I'm gone
The Cyclops Saga,My Goodbye,odysseus,So now I'm gone
The Cyclops Saga,My Goodbye,athena,"This way, you'll know what your place is"
The Cyclops Saga,My Goodbye,odysseus,"This way, you'll know what your place is"
The Cyclops Saga,My Goodbye,athena,"This way, you can't cross the line"
The Cyclops Saga,My Goodbye,odysseus,"This way, you can't cross the line"
The Cyclops Saga,My Goodbye,athena,"This way, when all is over you'll keep yours and I'll keep mine"
The Cyclops Saga,My Goodbye,odysseus,"This way, when all is over you'll keep yours and I'll keep mine"
The Cyclops Saga,My Goodbye,athena,"This way, you won't disappoint me"
The Cyclops Saga,My Goodbye,odysseus,"This way, you won't disappoint me"
The Cyclops Saga,My Goodbye,athena,"This way, you won't waste my time"
The Cyclops Saga,My Goodbye,odysseus,"This way, you won't waste my time"
The Cyclops Saga,My Goodbye,athena,"This way, I’ll close the door"
The Cyclops Saga,My Goodbye,odysseus,"This way, I’ll close the door"
The Cyclops Saga,My Goodbye,athena,Consider this as my goodbye
The Cyclops Saga,My Goodbye,odysseus,Consider this as my goodbye
The Cyclops Saga,My Goodbye,odysseus,"That’s just lik? you, why should I be surprised?"
The Cyclops Saga,My Goodbye,odysseus,Selfish and prid?ful and vain
The Cyclops Saga,My Goodbye,odysseus,"Unlike you, every time someone dies"
The Cyclops Saga,My Goodbye,odysseus,I'm left to deal with the strain
The Cyclops Saga,My Goodbye,odysseus,What’s a title that a goddess could lend if I'll never sleep at night?
The Cyclops Saga,My Goodbye,odysseus,I'll remind you I saw you as a friend
The Cyclops Saga,My Goodbye,odysseus,But now we're done
The Cyclops Saga,My Goodbye,odysseus,"This way, you’re out of my head now"
The Cyclops Saga,My Goodbye,odysseus,"This way, you won't plague my life"
The Cyclops Saga,My Goodbye,odysseus,"This way, when all is done, you're out of sight and out of mind"
The Cyclops Saga,My Goodbye,odysseus,"This way, you get what you wanted"
The Cyclops Saga,My Goodbye,odysseus,"This way, you can save your time"
The Cyclops Saga,My Goodbye,odysseus,"This way, you close the door and have your damn goodbye"
The Cyclops Saga,My Goodbye,athena,You're not looking for a mentor
The Cyclops Saga,My Goodbye,athena,I'm not looking for a friend
The Cyclops Saga,My Goodbye,athena,I mistook you for a general
The Cyclops Saga,My Goodbye,athena,What a waste of effort spent
The Cyclops Saga,My Goodbye,odysseus,At least I know what I'm fighting for
The Cyclops Saga,My Goodbye,odysseus,While you're fighting to be known
The Cyclops Saga,My Goodbye,odysseus,Since you claim you're so much wiser
The Cyclops Saga,My Goodbye,odysseus,Why's your life spent all alone?
The Cyclops Saga,My Goodbye,odysseus,You're alone
The Cyclops Saga,My Goodbye,athena,"One day, you'll hear what I'm saying"
The Cyclops Saga,My Goodbye,athena,"One day, you might understand"
The Cyclops Saga,My Goodbye,athena,"One day, but not today, for after all you're"
The Cyclops Saga,My Goodbye,ensemble,Just a man
The Cyclops Saga,My Goodbye,athena,"This day, you sever your own head"
The Cyclops Saga,My Goodbye,ensemble,"This day, you sever your own head"
The Cyclops Saga,My Goodbye,athena,"This day, you cut the line"
The Cyclops Saga,My Goodbye,ensemble,"This day, you cut the line"
The Cyclops Saga,My Goodbye,athena,"This day, you lost it all"
The Cyclops Saga,My Goodbye,ensemble,"This day, you lost it all"
The Cyclops Saga,My Goodbye,athena,Consider this as my goodbye
The Cyclops Saga,My Goodbye,ensemble,Consider this as my goodbye
The Cyclops Saga,My Goodbye,athena,Ohh
The Cyclops Saga,My Goodbye,ensemble,Ohh
The Cyclops Saga,My Goodbye,athena,Consider this as my goodbye
The Cyclops Saga,My Goodbye,ensemble,Consider this as my goodbye
The Cyclops Saga,My Goodbye,athena,Ohh
The Cyclops Saga,My Goodbye,ensemble,Ohh
The Cyclops Saga,My Goodbye,athena,This is my goodbye
The Cyclops Saga,My Goodbye,ensemble,This is my goodbye
The Cyclops Saga,My Goodbye,athena,Ohh
The Cyclops Saga,My Goodbye,ensemble,Ohh
The Cyclops Saga,My Goodbye,athena,Consider this as my goodbye
The Cyclops Saga,My Goodbye,ensemble,Consider this as my goodbye
The Cyclops Saga,My Goodbye,athena,Ohh
The Cyclops Saga,My Goodbye,ensemble,Ohh
The Cyclops Saga,My Goodbye,athena,This is my goodbye
The Cyclops Saga,My Goodbye,ensemble,This is my goodbye
The Ocean Saga,Storm,odysseus,These waves and tides
The Ocean Saga,Storm,odysseus,Have grown in strength and size
The Ocean Saga,Storm,odysseus,Is it nature or divine
The Ocean Saga,Storm,odysseus,Or a blessing in disguise?
The Ocean Saga,Storm,odysseus,Our home's in sight
The Ocean Saga,Storm,odysseus,This storm's our final fight
The Ocean Saga,Storm,odysseus,There's no time to die
The Ocean Saga,Storm,odysseus,Comrades?
The Ocean Saga,Storm,soldiers,Sir!
The Ocean Saga,Storm,odysseus,Brace for a storm
The Ocean Saga,Storm,soldiers,Brace for a storm
The Ocean Saga,Storm,odysseus,Storm
The Ocean Saga,Storm,soldiers,Storm
The Ocean Saga,Storm,odysseus,The likes of which we've never seen before
The Ocean Saga,Storm,soldiers,The likes of which we've never seen before
The Ocean Saga,Storm,odysseus,Brace for a storm
The Ocean Saga,Storm,soldiers,Brace for a storm
The Ocean Saga,Storm,odysseus,Storm
The Ocean Saga,Storm,soldiers,Storm
The Ocean Saga,Storm,odysseus,"With home so close, we must keep pushing forward"
The Ocean Saga,Storm,soldiers,"With home so close, we must keep pushing forward"
The Ocean Saga,Storm,odysseus,Full speed ahead
The Ocean Saga,Storm,soldiers,Full speed ahead
The Ocean Saga,Storm,odysseus,Head towards the island but avoid the crashing waves
The Ocean Saga,Storm,odysseus,Tread where the tide is flat and then you will be saf?
The Ocean Saga,Storm,eurylochus,"Captain, we will capsize with thes? waves, our fleet will fail"
The Ocean Saga,Storm,odysseus,"Have them follow my ship, I'll ensure that we prevail"
The Ocean Saga,Storm,odysseus,Storm
The Ocean Saga,Storm,soldiers,Storm
The Ocean Saga,Storm,odysseus,Storm
The Ocean Saga,Storm,soldiers,Storm
The Ocean Saga,Storm,eurylochus,We're taking too much damage to survive
The Ocean Saga,Storm,odysseus,We'll beat this storm
The Ocean Saga,Storm,soldiers,We'll beat this storm
The Ocean Saga,Storm,odysseus,Storm
The Ocean Saga,Storm,soldiers,Storm
The Ocean Saga,Storm,eurylochus,"At this rate, we won't make it out alive"
The Ocean Saga,Storm,perimedes,"Captain, look!"
The Ocean Saga,Storm,elpenor,"Captain, look!"
The Ocean Saga,Storm,odysseus,An island in the sky
The Ocean Saga,Storm,eurylochus,An island in the sky
The Ocean Saga,Storm,odysseus,"Eurylochus, grab the harpoons"
The Ocean Saga,Storm,odysseus,As many as you can find
The Ocean Saga,Storm,eurylochus,What do you have in mind?
The Ocean Saga,Storm,odysseus,We're gonna shoot for the sky
The Ocean Saga,Storm,eurylochus,What?
The Ocean Saga,Storm,soldiers,"Storm, storm"
The Ocean Saga,Storm,odysseus,Everyone grab a harpoon and aim it high
The Ocean Saga,Storm,soldiers,"Storm, storm"
The Ocean Saga,Storm,odysseus,We're shooting for the island in the sky
The Ocean Saga,Storm,odysseus,In the sky
The Ocean Saga,Storm,soldiers,"Storm, storm"
The Ocean Saga,Luck Runs Out,eurylochus,Please don't tell me you're about to do what I think you'll do
The Ocean Saga,Luck Runs Out,odysseus,"You've heard the?legends?of the island?in the sky, this proves they're?true"
The Ocean Saga,Luck Runs Out,odysseus,We're in the home of the wind god
The Ocean Saga,Luck Runs Out,eurylochus,We don't know for sure
The Ocean Saga,Luck Runs Out,odysseus,How many floating islands have you seen before?
The Ocean Saga,Luck Runs Out,odysseus,This is the home of the wind god
The Ocean Saga,Luck Runs Out,eurylochus,And what's your plan?
The Ocean Saga,Luck Runs Out,odysseus,I'm gonna climb to the top and ask 'em for a hand
The Ocean Saga,Luck Runs Out,eurylochus,You could be caught off guard and lose your life
The Ocean Saga,Luck Runs Out,eurylochus,Or piss off this god and infuse us with strife
The Ocean Saga,Luck Runs Out,eurylochus,Don't forget how dangerous the gods are
The Ocean Saga,Luck Runs Out,odysseus,"Have faith, friend, we've come this far"
The Ocean Saga,Luck Runs Out,eurylochus,"Yes, but how much longer til your luck runs out?"
The Ocean Saga,Luck Runs Out,crew,"Yes, but how much longer til your luck runs out?"
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til the show goes south?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til the show goes south?
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til we all fall down?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til we all fall down?
The Ocean Saga,Luck Runs Out,eurylochus,"You rely on wit, and people die on it, woah"
The Ocean Saga,Luck Runs Out,crew,"You rely on wit, and people die on it, woah"
The Ocean Saga,Luck Runs Out,odysseus,I still believe in goodness
The Ocean Saga,Luck Runs Out,odysseus,I still believe that we could be kind
The Ocean Saga,Luck Runs Out,odysseus,"Lead from the heart, and see what starts"
The Ocean Saga,Luck Runs Out,eurylochus,And what will we do when it tears us apart?
The Ocean Saga,Luck Runs Out,odysseus,"Where is this coming from, my friend?"
The Ocean Saga,Luck Runs Out,eurylochus,I just don't wanna see another life end
The Ocean Saga,Luck Runs Out,eurylochus,You're like the brother I could never do without
The Ocean Saga,Luck Runs Out,odysseus,And suddenly you doubt that I could figure this out?
The Ocean Saga,Luck Runs Out,eurylochus,"Captain, how much longer til your luck runs out?"
The Ocean Saga,Luck Runs Out,crew,"Captain, how much longer til your luck runs out?"
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til the show goes south?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til the show goes south?
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til we all fall down?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til we all fall down?
The Ocean Saga,Luck Runs Out,eurylochus,"You rely on wit, and people die on it, woah"
The Ocean Saga,Luck Runs Out,crew,"You rely on wit, and people die on it, woah"
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til the snake breaks free?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til the snake breaks free?
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til your great days cease?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til your great days cease?
The Ocean Saga,Luck Runs Out,eurylochus,How much longer 'til your strength takes leave?
The Ocean Saga,Luck Runs Out,crew,How much longer 'til your strength takes leave?
The Ocean Saga,Luck Runs Out,eurylochus,"You rely on wit, and people die on it, woah"
The Ocean Saga,Luck Runs Out,crew,"You rely on wit, and people die on it, woah"
The Ocean Saga,Luck Runs Out,odysseus,Thank you for the concern but brother I can assure you
The Ocean Saga,Luck Runs Out,odysseus,Our journey is almost done
The Ocean Saga,Luck Runs Out,odysseus,I understand that we're tired
The Ocean Saga,Luck Runs Out,odysseus,I understand that we're fazed
The Ocean Saga,Luck Runs Out,odysseus,But don't forget how much we've already faced
The Ocean Saga,Luck Runs Out,odysseus,I took six hundred men to war and not one of them died there
The Ocean Saga,Luck Runs Out,odysseus,In case you needed a reminder
The Ocean Saga,Luck Runs Out,odysseus,"If you'd like to speak more, let me pull you aside then"
The Ocean Saga,Luck Runs Out,odysseus,I need to talk to you in private
The Ocean Saga,Luck Runs Out,odysseus,I can't have you planting seeds of doubt
The Ocean Saga,Luck Runs Out,odysseus,I can't have you disagreeing each route
The Ocean Saga,Luck Runs Out,odysseus,I need you to always be devout and comply with this
The Ocean Saga,Luck Runs Out,odysseus,Or we'll all die in this
The Ocean Saga,Luck Runs Out,odysseus,Okay?
The Ocean Saga,Luck Runs Out,eurylochus,Okay
The Ocean Saga,Luck Runs Out,odysseus,Thank you
The Ocean Saga,Keep Your Friends Close,odysseus,"Great wind god, Aeolus"
The Ocean Saga,Keep Your Friends Close,odysseus,I don't know if you know this
The Ocean Saga,Keep Your Friends Close,odysseus,But our path to home is blocked by an impenetrable storm
The Ocean Saga,Keep Your Friends Close,odysseus,I ask for your assistance
The Ocean Saga,Keep Your Friends Close,odysseus,So we at last can go the distance
The Ocean Saga,Keep Your Friends Close,odysseus,Can you cast the perfect winds for us and aid our journey home?
The Ocean Saga,Keep Your Friends Close,aeolus,Ha ha ha
The Ocean Saga,Keep Your Friends Close,aeolus,"I am the wind, twisting and turning"
The Ocean Saga,Keep Your Friends Close,aeolus,I give the fire enough to stay burning
The Ocean Saga,Keep Your Friends Close,aeolus,Let's play a game
The Ocean Saga,Keep Your Friends Close,odysseus,A game?
The Ocean Saga,Keep Your Friends Close,aeolus,That's what I'm serving
The Ocean Saga,Keep Your Friends Close,aeolus,"And if you win, you will get what you're yearning"
The Ocean Saga,Keep Your Friends Close,odysseus,Deal
The Ocean Saga,Keep Your Friends Close,aeolus,Take a look right here at this bag
The Ocean Saga,Keep Your Friends Close,aeolus,It has the winds of the storm all trapped
The Ocean Saga,Keep Your Friends Close,aeolus,All you gotta do is not open this bag
The Ocean Saga,Keep Your Friends Close,odysseus,"Sounds too easy, what's the catch?"
The Ocean Saga,Keep Your Friends Close,aeolus,Ha ha ha
The Ocean Saga,Keep Your Friends Close,winions,Ha ha ha
The Ocean Saga,Keep Your Friends Close,aeolus,Keep your friends close and your enemi?s closer
The Ocean Saga,Keep Your Friends Close,winions,Keep your friends close and your enemi?s closer
The Ocean Saga,Keep Your Friends Close,aeolus,Never r?ally know who you can trust
The Ocean Saga,Keep Your Friends Close,winions,Never r?ally know who you can trust
The Ocean Saga,Keep Your Friends Close,aeolus,"If they wanna get the bag open, you gotta say ""no, sir"""
The Ocean Saga,Keep Your Friends Close,winions,"If they wanna get the bag open, you gotta say ""no, sir"""
The Ocean Saga,Keep Your Friends Close,aeolus,Sometimes killing is a must
The Ocean Saga,Keep Your Friends Close,winions,Sometimes killing is a must
The Ocean Saga,Keep Your Friends Close,odysseus,What?
The Ocean Saga,Keep Your Friends Close,aeolus,'Cause the end always justifies the means
